22,8,15,1,1,2,10,7,0,0.2753237930766206,2
1,5,12,7,0,4,1,16,1,0.24811821715042248,58
2,4,8,0,0,7,0,15,0,0.6659050010256047,38
17,18,2,1,3,19,21,16,1,0.9702678440387142,4
1,5,1,10,0,18,1,4,1,0.46875532074771264,36
0,18,2,3,3,24,24,11,1,0.6401401516915539,10
0,1,1,10,0,21,0,3,0,0.822212827287244,16
1,11,12,7,1,4,22,3,0,0.9147231565576083,10
1,23,12,4,1,4,1,16,0,0.8352292877468723,10
17,8,19,1,6,12,3,16,0,0.5811836903819798,20
4,2,18,21,0,24,0,7,1,0.1713030604389154,48
1,23,12,4,1,4,7,0,0,0.8580773895070304,18
4,4,24,23,11,0,0,0,0,0.5312699082500947,56
3,0,18,1,0,4,10,24,1,0.19067182809693883,14
1,5,8,1,1,13,2,21,1,0.6171763369434214,22
6,19,24,7,11,2,22,0,1,0.4884319669807595,8
3,12,4,3,3,2,7,0,0,0.6386156149125823,44
1,5,1,1,0,18,1,6,1,0.23933150112863188,38
15,4,4,4,11,4,10,3,0,0.6922740939348129,34
8,2,4,11,1,2,7,0,1,0.47430648361788397,30
0,1,1,10,10,23,0,4,0,0.6204158308463663,56
1,5,1,7,0,18,1,4,1,0.42935570643695153,50
3,12,5,1,3,0,10,6,0,0.7715982966142687,56
0,7,2,6,10,18,16,0,0,0.7345546764055659,42
8,2,4,11,7,4,7,0,1,0.5644152886862088,38
3,24,4,16,1,12,7,1,0,0.7284191005504663,78
0,1,1,10,0,23,0,3,0,0.8086766493087147,140
1,12,12,4,1,4,1,0,0,0.6604778494176629,398
