7,25,2,17,7,12,7,1,0,0.18303153336542444,8
1,12,1,0,22,0,0,13,0,0.5491125743266494,4
2,1,1,10,0,26,22,7,1,0.9971789876050139,2
11,0,0,0,15,17,24,0,1,0.41727565981409476,8
8,18,1,0,21,4,16,23,1,0.28172895207195814,2
3,14,0,16,0,0,11,4,1,0.6597532684139995,8
3,0,18,24,4,8,6,10,0,0.46534845414905646,12
11,0,0,0,6,0,3,12,1,0.052162196262373284,12
0,0,0,2,6,4,24,12,1,0.7910476454987131,16
17,5,1,15,3,0,16,13,0,0.4934372161352265,8
0,12,25,4,21,4,11,21,0,0.8063350890687413,8
25,4,0,2,16,4,16,1,1,0.45730232647320257,8
10,8,4,2,0,26,11,0,1,0.6861649539296413,12
15,8,1,10,6,0,16,10,0,0.4227149963557497,16
0,4,25,3,22,0,10,15,0,0.8174115249966709,22
21,0,2,16,22,7,7,6,0,0.8346039297330734,12
15,0,18,4,22,4,0,23,1,0.7259116119829714,10
6,0,7,16,22,23,16,21,0,0.9611283473422193,10
0,0,15,21,15,18,1,10,1,0.9204376615849217,12
11,0,0,17,15,17,1,0,0,0.6011477097164206,64
0,8,12,7,3,1,6,3,0,0.6428366973459387,78
0,13,13,1,0,8,22,2,1,0.3242267893870444,30
0,14,0,16,0,4,1,1,1,0.5315351403015196,56
0,18,8,16,10,4,1,21,0,0.866715971686091,36
1,12,1,0,22,18,0,1,0,0.5765364072255847,106
3,18,8,1,0,23,11,0,0,0.7496970811141972,48
0,14,0,2,0,4,1,1,1,0.7053250655610498,70
0,14,0,3,15,18,0,1,1,0.7098047241071033,54
0,7,0,22,0,12,16,1,0,0.878703449618158,72
0,12,0,3,10,4,1,0,0,0.5565855251493015,566
