6,24,0,3,6,0,22,6,0,0.8721901995915263,30
16,4,12,21,6,0,2,2,0,0.26224537683675364,2
1,1,1,1,0,12,1,2,0,0.2865004687941075,56
23,26,24,12,22,25,1,3,0,0.9933213586995755,4
21,0,4,6,0,11,0,10,0,0.9747841380049531,28
3,0,19,17,24,12,23,2,0,1.0,4
1,17,4,15,6,24,1,22,0,0.5504128065534442,4
4,2,4,15,10,23,21,22,0,0.6469211387409197,4
5,13,21,0,21,4,22,2,1,0.9788972743716483,4
24,24,18,6,6,24,1,22,1,0.6996829513887063,4
21,0,25,6,0,1,0,15,0,0.7467431982569506,12
12,7,0,7,1,23,10,23,0,0.7115191924046921,6
15,8,25,12,11,1,21,21,0,0.8422966147139241,12
6,12,25,16,22,4,3,15,0,0.891744992902894,12
7,13,18,1,3,4,6,25,0,0.4516293067236996,14
8,8,25,17,10,2,17,7,1,0.8501270104042318,14
7,14,24,23,1,18,10,0,1,0.632097440025615,14
6,2,15,3,6,24,16,3,1,0.5547603500269391,8
16,0,19,1,3,12,23,2,1,0.5488313295317309,18
2,8,8,0,4,4,0,12,1,0.5216803085955948,78
6,4,4,15,6,23,1,3,0,0.9272855579526892,26
15,5,5,24,0,5,0,11,1,0.5705344118598021,30
22,18,18,1,0,1,10,0,0,0.6770701764756337,64
6,24,12,1,10,0,22,6,0,0.8537619877228493,28
21,0,4,6,0,17,0,10,0,0.8969621961173503,112
1,17,0,7,15,0,22,0,0,0.8093931465173345,116
1,9,0,3,6,0,22,1,1,0.5622397971567149,144
0,24,0,3,6,0,16,1,0,0.6726291409650064,244
1,12,4,1,6,12,6,0,0,0.6369420438162374,288
